gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PCDHGB4,3.6845350917077857,4.677248311952648,57.145142016503364,2.1605723309279267e-11,1.3330784017205872e-07,16.60078754825924
PCDHB5,3.222996390932452,4.4059983410355,44.18287947999621,1.5544283972703835e-10,2.8074023572991335e-07,14.916397944599286
CSRP1,5.312940109365762,5.033882831526833,44.00113496748961,1.6043215939763034e-10,2.8074023572991335e-07,15.01896652655732
NF1P8,8.861140197626728,-1.6436846989875553,40.77587716418813,2.8748296407564386e-10,3.869741837199763e-07,10.534430983228404
SPRY1,2.0576714866588066,6.348362030655075,38.347572556358614,4.600618464586339e-10,5.367081500786423e-07,14.075819748997459
TSPAN12,2.0271219668117135,5.221463476312087,35.041320679846464,9.172074223033239e-10,7.654965172223257e-07,13.386089592684794
ZNF528,3.807553086289758,3.1978715283248835,35.01951130707762,9.21585612462181e-10,7.654965172223257e-07,13.001521685597021
PHLDA1,1.8592480017353354,7.152012551509364,34.09152324990782,1.1317099894747748e-09,8.277942939550122e-07,13.177177412528728
CDH11,1.636186435855512,8.530747940896207,32.9260723548314,1.4764600558605464e-09,9.937144045193731e-07,12.908649324732641
JAG1,2.3021581650120257,7.869898173636612,31.93094881788129,1.8666842309508446e-09,1.029283442197351e-06,12.667583283797851
DACT1,2.397074733178191,7.590367454913816,31.682583916192204,1.9814310675422196e-09,1.029283442197351e-06,12.605938636303284
KLF7,1.7039645466547215,5.107506781029705,31.592028396333625,2.0252335204385067e-09,1.029283442197351e-06,12.599607088840969
PRKCE,1.9264398916653995,4.691095355938909,31.472342377512593,2.0848139277332793e-09,1.029283442197351e-06,12.567376643668846
GNG2,1.9246009944720033,6.005692054919514,31.320037543804666,2.1635143754985544e-09,1.029283442197351e-06,12.521457908904228
NGFR,2.9605829938640444,4.098463090415115,31.2958410674806,2.176323639139493e-09,1.029283442197351e-06,12.485070245379951
RSPO4,1.927546321625325,5.947265597532325,30.187198992796375,2.866377673406798e-09,1.1942557834987037e-06,12.233334216584241
ZNF572,7.350240240475339,-2.3990727263256737,29.982031220745366,3.019552052358047e-09,1.207609494733895e-06,9.219170247715555
ECE1,1.3375208867096031,7.897689310920649,29.96012118775349,3.0364488124059306e-09,1.207609494733895e-06,12.166131778760416
ZFP3,5.419749784300177,1.414068029491473,29.808245238294642,3.1565518136337985e-09,1.2175299187763568e-06,11.370622495058376
ZNF253,2.477343793578537,3.9818702610842367,29.442683137469373,3.4682646709921722e-09,1.2175299187763568e-06,12.031138287191652
FREM1,2.4384452115121436,6.841044981024516,29.411641414185038,3.4962959878809197e-09,1.2175299187763568e-06,12.01986179730615
SHISA2,2.466976208709969,5.608331257048051,29.280040045665466,3.618009930645783e-09,1.2175299187763568e-06,12.000196264689304
THY1,1.8133162284829671,5.579151609043696,28.71726424281897,4.195403149262265e-09,1.2589202245932365e-06,11.84820467849838
FMNL3,1.8097189832874623,6.49189847396236,28.651865697363966,4.269003609655491e-09,1.2589202245932365e-06,11.813812497522743
ZEB2,1.5184518188544462,6.627248515300004,28.61029564402123,4.316544572580959e-09,1.2589202245932365e-06,11.801368785546831
TGFB1I1,1.6369385463350232,5.443098915357252,28.30429846222335,4.685472419953833e-09,1.318827958468833e-06,11.73823631407614
GFOD1,2.4819316690417477,5.022671060608353,28.142012291502862,4.895498470190425e-09,1.318827958468833e-06,11.70772194952898
LIMA1,1.5616165731167344,6.720509965493018,28.12360622718756,4.919982941858203e-09,1.318827958468833e-06,11.664179640794885
ZNF135,2.5782610819670584,2.9163516541844543,28.097854336343584,4.954471470298483e-09,1.318827958468833e-06,11.510718168462512
KCP,2.1853955030888885,4.490562073267218,28.08325152085985,4.974149680492769e-09,1.318827958468833e-06,11.703035341738286
ZNF229,3.465442100061754,2.0403619926968872,27.519200617805417,5.806261086463522e-09,1.3816457193306376e-06,11.13337821460784
FLI1,3.0397280886249916,3.9495420523251012,27.49660978579004,5.84272148296858e-09,1.3816457193306376e-06,11.528552355250074
ENDOD1,2.0272889285522266,5.33235916813231,27.246124207983346,6.2647959944925005e-09,1.4424692777318983e-06,11.44172260572678
EPAS1,2.401006153005521,5.889577523376451,26.991182674841387,6.730069676067993e-09,1.490753028626757e-06,11.347686053088747
TFPI2,2.646028991652544,5.195585680559551,26.705405948327392,7.298605877137168e-09,1.5492243636047511e-06,11.289400753205424
CTSB,1.3527638961973825,8.294482676728663,26.684022254283786,7.343281549814705e-09,1.5492243636047511e-06,11.244978750742122
PGA5,4.412605909429576,0.3094581538972902,26.407771991814798,7.949078936045784e-09,1.6364815564925316e-06,10.303420594213254
FAR2P4,3.197233709092237,2.2973021437488654,26.035323710063864,8.857168649049614e-09,1.756703002925733e-06,10.860825750879606
BAMBI,1.345475342000774,8.241942064649201,25.855684367110683,9.336612660512413e-09,1.756703002925733e-06,10.99120906067035
RIMS2,1.7980027775934349,4.511554870124868,25.819553121794208,9.436543932511509e-09,1.756703002925733e-06,11.056836273639696
MAP3K13,2.630338479414208,3.6935872576584696,25.707159058096533,9.755204502424965e-09,1.7969086693466784e-06,11.015952544605915
KLHL4,1.7271146310853789,5.74375509440858,25.383176885116917,1.0743873110863635e-08,1.9188498847006443e-06,10.860625693843401
THBS1,1.6737866588847892,8.10528042462825,25.342846053839356,1.0874679221745814e-08,1.9188498847006443e-06,10.82892433199105
ACTA1,2.1997611638387533,4.963477709521645,25.315169553956174,1.0965483083036997e-08,1.9188498847006443e-06,10.879094814424853
MED15P8,6.265230014403431,-2.94049666639476,25.14956224163043,1.1527039590461301e-08,1.9775653509164933e-06,8.344603593941487
COL6A3,1.4042349960956502,8.201693714501292,24.99223165044559,1.2090760466868897e-08,2.029607790904557e-06,10.717034902027908
HEY1,2.4055236220695235,6.42733488909576,24.88717280909228,1.2484506251880358e-08,2.0417418215107887e-06,10.684983970716917
ANK3,1.4038552553163788,8.468840808175306,24.50686197955454,1.4035836875977294e-08,2.1823729904882337e-06,10.560515224802764
SLC27A3,1.8967910449386034,5.358210313938084,24.45236133161018,1.427548812721732e-08,2.1823729904882337e-06,10.579293271444307
SCG3,3.176564854317807,2.350989945837764,24.39679769022125,1.4524578396536928e-08,2.191082735870687e-06,10.451272222955449
LHFPL2,1.3460960217334241,6.993819422407269,24.168712049490953,1.5599776595736148e-08,2.272582157948543e-06,10.443481219038954
ITGA1,1.8244542445478107,7.065040600834993,24.161485755670242,1.563528020766716e-08,2.272582157948543e-06,10.440721205964532
PDE3A,1.4933255651363675,6.7832695710182325,24.039573587166366,1.6248208845228437e-08,2.272582157948543e-06,10.401268384873749
RGS2,2.1044214432301134,4.3954268068139095,23.96688085197928,1.6626564476553177e-08,2.272582157948543e-06,10.483599597495823
HAND1,1.5769387734200855,6.982088643398344,23.885633171006365,1.7061262215056895e-08,2.272582157948543e-06,10.347992477880037
C17orf51,6.693238042198919,0.6347370593205406,23.851526347642373,1.7247553763359995e-08,2.272582157948543e-06,9.883179453938943
TOP3A,1.245834896509657,6.0223235883472555,23.846970453631744,1.7272611406775027e-08,2.272582157948543e-06,10.348171571676183
N4BP2L1,3.1002232002143115,3.41758978784278,23.68283962746796,1.820333696820042e-08,2.325110902237512e-06,10.395207985000921
HAS2,2.0807462788283306,6.861816027906577,23.521349947440786,1.9174682019686024e-08,2.3464179067306697e-06,10.223906998376219
CPT1A,2.1727125561113434,3.6268432890902025,23.42953488519018,1.975294926055423e-08,2.3838404076581964e-06,10.325223483687441
LRRC61,6.739322371580338,1.1449130913652898,23.336218046285804,2.0360920921191758e-08,2.3981223910156514e-06,9.899622698695275
VAV3,2.6225215346457524,2.751581130456773,23.334130758277933,2.037475924838757e-08,2.3981223910156514e-06,10.218606993722997
TACR1,3.2946825839158915,2.261961853852689,23.324626696609513,2.043790371266707e-08,2.3981223910156514e-06,10.136013869705092
ATP2B1,1.2572950051354548,8.519623007384363,23.306864233002926,2.0556509437816318e-08,2.3981223910156514e-06,10.154055876519196
AKAP7,1.516096485157203,4.111735416230412,23.1297931422654,2.1782306652150553e-08,2.4988327607625443e-06,10.222334673757025
F2R,1.3279775643699443,6.245786318387228,23.100770514410204,2.1990984922420242e-08,2.4988327607625443e-06,10.084743254838957
SORBS1,1.7125465316150708,6.184484650035595,23.04932079790252,2.2366486214636593e-08,2.5251041436769403e-06,10.068034147347172
MYO1D,1.1906827593097349,7.148124641609824,22.98545745390286,2.2842690218756958e-08,2.5419056181474994e-06,10.035065798644295
ZNF626,1.8073120986611317,3.660705505157088,22.971130148518025,2.29510879288705e-08,2.5419056181474994e-06,10.177711561308966
KCNS3,1.6528061165319134,3.948329652935498,22.937088570073236,2.321097570665801e-08,2.5545211565459656e-06,10.163972560929654
ST8SIA4,2.3844169578269874,3.147204687062585,22.903760886352806,2.3468634397012656e-08,2.566735208208278e-06,10.131192494755398
GFPT2,1.3928606977697813,5.507512366579412,22.844769246673767,2.3932654269230334e-08,2.6012268140202587e-06,10.0230986491769
TNFRSF19,1.0586787611271937,6.8841746687061685,22.47286804510848,2.7107786026818762e-08,2.8575852270078404e-06,9.852772577859643
NRP2,1.5272123950614702,8.850282357086677,22.409995212680293,2.7690235881047763e-08,2.8786735096124044e-06,9.838697590772615
PCDHB15,1.9679807226507307,4.066412061491317,22.39817046229694,2.7801349969969503e-08,2.8786735096124044e-06,9.975819891339972
