PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
chr1-76,chr1,97543681,97543854,+,1,NA,"3' UTR (NM_000110: exon 23 of 23)","3' UTR (NM_000110: exon 23 of 23)",-17711,NR_046590,100873932,Hs.682651,NR_046590,ENSG00000232878,DPYD-AS1,RP11-526F14.1,DPYD antisense RNA 1,ncRNA
chr4-3165,chr4,88997336,88997509,+,1,NA,"3' UTR (NM_000297: exon 15 of 15)","3' UTR (NM_000297: exon 15 of 15)",68624,NM_000297,5311,Hs.181272,XM_005263065,ENSG00000118762,PKD2,APKD2|PC2|PKD4|Pc-2|TRPP2,polycystic kidney disease 2 (autosomal dominant),protein-coding
chr5-7901,chr5,174868447,174868620,+,1,NA,"3' UTR (NM_000794: exon 2 of 2)","3' UTR (NM_000794: exon 2 of 2)",2629,NM_000794,1812,Hs.2624,NM_000794,ENSG00000184845,DRD1,DADR|DRD1A,dopamine receptor D1,protein-coding
chr1-319,chr1,79004832,79005005,+,1,NA,"3' UTR (NM_000959: exon 3 of 3)","3' UTR (NM_000959: exon 3 of 3)",48191,NM_000959,5737,Hs.654365,NM_000959,ENSG00000122420,PTGFR,FP,prostaglandin F receptor (FP),protein-coding
chr2-6561,chr2,139329480,139329653,+,1,NA,"3' UTR (NM_001001664: exon 11 of 11)","3' UTR (NM_001001664: exon 11 of 11)",70217,NM_001001664,339745,Hs.333297,XM_005263655,ENSG00000144228,SPOPL,BTBD33,speckle-type POZ protein-like,protein-coding
chr17-522,chr17,20767419,20767592,+,1,NA,"3' UTR (NM_001004306: exon 4 of 4)","3' UTR (NM_001004306: exon 4 of 4)",-4240,NR_104185,440416,Hs.661076,XR_243605,,RP11-344E13.3,-,uncharacterized LOC440416,ncRNA
chr9-413,chr9,26117160,26117333,+,1,NA,"3' UTR (NM_001004352: exon 7 of 7)","3' UTR (NM_001004352: exon 7 of 7)",50574,NM_001004352,100506422,Hs.533221,NM_001004352,,LOC100506422,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323,protein-coding
chrX-205,chrX,62569401,62569574,+,1,NA,"3' UTR (NM_001012968: exon 1 of 1)","3' UTR (NM_001012968: exon 1 of 1)",1730,NM_001012968,139886,Hs.612782,NM_001012968,ENSG00000186767,SPIN4,-,"spindlin family: member 4",protein-coding
chr14-2443,chr14,61744909,61745082,+,1,NA,"3' UTR (NM_001017970: exon 1 of 1)","3' UTR (NM_001017970: exon 1 of 1)",3534,NM_001017970,161291,Hs.146180,NM_001017970,ENSG00000182107,TMEM30B,CDC50B,transmembrane protein 30B,protein-coding
chr9-2875,chr9,80031968,80032141,+,1,NA,"3' UTR (NM_001018037: exon 71 of 71)","3' UTR (NM_001018037: exon 71 of 71)",231177,NM_004297,9630,Hs.657795,NM_004297,ENSG00000156049,GNA14,-,"guanine nucleotide binding protein (G protein): alpha 14",protein-coding
chr8-1531,chr8,81548553,81548726,+,1,NA,"3' UTR (NM_001033723: exon 9 of 9)","3' UTR (NM_001033723: exon 9 of 9)",150192,NM_001105539,65986,Hs.591868,XM_005251286,ENSG00000205189,ZBTB10,RINZF,zinc finger and BTB domain containing 10,protein-coding
